UID,UNM,CMT
189964,Paul Phillips,1981
211221,michelou,1745
505846,paltherr,1648
210663,Martin Odersky,1515
205560,Adriaan Moors,918
505850,buraq,832
505829,mihaylov,587
207854,Iulian Dragos,582
207775,Eugene Burmako,544
205309,Philipp Haller,517
505827,Burak Emir,492
181475,Jason Zaugg,477
1189,Wladimir J. van der Laan,452
207798,Lex Spoon,423
102870,Josh Suereth,389
1106,Winston Chang,383
1207,Pieter Wuille,350
505853,schinz,341
1198,Philip Kaufmann,337
505793,Gilles Dubochet,320
210665,Lukas Rytz,256
1188,Luke-Jr,252
1200,Matt Corallo,249
505820,Sean McDirmid,236
2513,Ivan De Marino,230
207791,Grzegorz Kossakowski,219
505813,Geoffrey Washburn,219
9889,Сергей AKA /dev/rsa,218
1196,Gavin Andresen,198
505860,Matthias Zenger,184
